lambda        line    El_l0               El_F              El_F_e                El_v0            El_v0_e              El_vd            El_vd_e El_flag               El_EW            El_lcrms           El_vdins
------ ----------- -------- ------------------ ------------------- -------------------- ------------------ ------------------ ------------------ ------- ------------------- ------------------- ------------------
  3726   [OII]3726 3726.032 332.22231070099195   3.226194963763491   -41.22166803741542 3.8957872369258615  60.74401396488014  4.229862482009158       0  28.105019815271927  3.1913222902116027  70.27548157990687
  3729   [OII]3729 3728.815  498.2010990439554  3.7167362150935657   -41.22166803741542 3.8957872369258615  60.74401396488014  4.229862482009158       0   42.12496238262806  3.1913222902116027   70.2285655165041
  4861       Hbeta  4861.33 172.91964962116012              -999.0   -7.220595397730388 0.8215448943133736  50.86819608021253 1.0261960791609945       0  23.706089210384146  0.7954380195854582 56.110070635008846
  4340      Hgamma 4340.464  81.74383436636661              -999.0   -7.220595397730388 0.8215448943133736  50.86819608021253 1.0261960791609945       0   8.428528126019431  1.1487962335869017  61.39139070998987
  4959  [OIII]4959 4958.911 176.60305753755202  0.3090984807046347    -9.76681056412293 0.5600041496002073  46.30794102409534 0.7558240518357656       0  25.789590781079838    0.69588196310942   55.3273609747851
  5007  [OIII]5007 5006.843  524.5110808865295  0.9180224876927651    -9.76681056412293 0.5600041496002073  46.30794102409534 0.7558240518357656       0   78.96462488556521    0.69588196310942 54.965569903829916
  4363  [OIII]4363  4363.21  6.765412326714044  1.3084574756156089    -9.76681056412293 0.8215448943133736  46.30794102409534 1.0261960791609945       0  0.7147841444401989  1.0435071702434775  61.11958327854561
  4288  [FeII]4288   4287.5  0.842420931548325  1.3986625078981216   -7.220595397730388 0.8215448943133736  50.86819608021253 1.0261960791609945       0 0.08349315925514296  1.0435071702434775  62.03957023586205
  4360  [FeII]4360 4359.333 1.5810664030072088  1.3639586852463272   -7.220595397730388 0.8215448943133736  50.86819608021253 1.0261960791609945       0 0.16648124682877147  1.0435071702434775 61.165758388044516
  4356  [FeII]4356 4356.141 1.7004013831878795   1.410619897138044   -7.220595397730388 0.8215448943133736  50.86819608021253 1.0261960791609945       0 0.17855164096989687  1.0435071702434775  61.20374869305546
  6300    [OI]6300 6300.304 15.075501297834204              -999.0 -0.05877828434885016             -999.0  46.01855439089851             -999.0       0  3.7914192457555127 0.38520461764632324  60.60559976295674
  6364    [OI]6364 6363.776                0.0              -999.0                  0.0             -999.0               50.0             -999.0       0                 0.0 0.38520461764632324  59.91176567939765
  6563      Halpha  6562.82  449.5910890150164   1.052134882511263   -7.220595397730388 0.8215448943133736  50.86819608021253 1.0261960791609945       0  120.92531785115816  0.4325383876354022  57.93399545775317
  6548   [NII]6548  6548.04  10.95257063752256 0.11236167273744638  -12.061075484073143 3.6004877896250043 40.977379919838064  5.918474436610575       0  2.9346567712960745  0.4325383876354022  58.07093358281705
  6584   [NII]6584  6583.46  32.85771191256768 0.33708501821233916  -12.061075484073143 3.6004877896250043 40.977379919838064  5.918474436610575       0   8.885119636443333  0.4325383876354022  57.74570155107382
  5755   [NII]5755 5754.644                0.0              -999.0  -12.061075484073143 3.6004877896250043 40.977379919838064  5.918474436610575       0                 0.0  0.6825769433721893 62.734720826102006
  4686  [HeII]4686  4685.71                0.0              -999.0  -28.885976155465503             -999.0  57.61429785925887             -999.0       0                 0.0  0.8674955553882154  57.67746187134834
  5876   [HeI]5876 5875.966  22.78092950439773              -999.0  -28.885976155465503             -999.0  57.61429785925887             -999.0       0   4.757301428366482  0.5047090875638062  65.89471071308076
  6716   [SII]6716  6716.44  68.55212317731907   0.261499491607039   -5.725567094689754 1.2252374810600444  60.48637162221817 1.5907790579492567       0    19.3178162339838 0.41373349695771583 56.605561633797286
  6731   [SII]6731  6730.81  52.76631629793554  0.2323043246176685   -5.725567094689754 1.2252374810600444  60.48637162221817 1.5907790579492567       0   14.92393253761012 0.41373349695771583  56.48988427215326
  7320   [OII]7320   7320.5  6.936346771103548  0.2826460555528248    33.79763935040615  20.46260994176602  99.29221425522492  17.35892366850879       0  2.3323927661148995   0.485790855858476 52.919383068548946
  7330   [OII]7330   7329.5  6.315852617520593 0.22843632608670683    33.79763935040615  20.46260994176602  99.29221425522492  17.35892366850879       0  2.1221416106260156   0.485790855858476  52.88142248923371
  7135 [ArIII]7135   7135.8 13.003298814189948              -999.0    -9.76681056412293 0.5600041496002073  46.30794102409534 0.7558240518357656       0   4.243759158914572 0.38040132344613686  53.79969414921066
  7751 [ArIII]7751   7751.1 100.12178207506825  1.5544499159622178    -9.76681056412293 0.5600041496002073  46.30794102409534 0.7558240518357656       0  37.173975818231675 0.38040132344613686 51.639744127723354
  4658 [FeIII]4658  4658.05                0.0              -999.0    -9.76681056412293 0.5600041496002073  46.30794102409534 0.7558240518357656       0                 0.0  0.8630141758088503 57.943469207627075
  4988 [FeIII]4988  4988.38                0.0              -999.0    -9.76681056412293 0.5600041496002073  46.30794102409534 0.7558240518357656       0                 0.0  0.8630141758088503  55.10318753520714
  3869 [NeIII]3869  3869.06  50.75171662966896  1.4590901305506485   -67.16046796806413  10.78086778762784  33.82489030581412 23.598544546426762       0   3.982425456128399  1.6976977996957665  67.93715750962068
  3968 [NeIII]3968  3967.79  43.15436621927825  1.2906293722343989    88.94671596372523 17.625138406275777  98.90021552005575 20.699372235037362       0   3.535987849333519  1.6976977996957665  66.41885059192786
  4740  [ArIV]4740  4741.49                0.0              -999.0                  0.0             -999.0               50.0             -999.0       0                 0.0   0.813590863135153  57.15720356973439
